                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     36,                0.47699,                0.74795,                0.81488,                0.66723,                0.55821,                0.51821,                0.43562,                0.42639,                 0.7631,                0.81865,                0.00307,                0.00307,                0.00307
                     37,                0.48929,                0.77483,                0.83062,                0.67089,                 0.5666,                0.51855,                0.43704,                0.38529,                0.71121,                 0.8158,               0.002872,               0.002872,               0.002872
                     38,                0.44408,                0.73242,                0.82709,                0.66897,                0.55998,                0.51976,                0.43856,                0.38298,                0.70204,                 0.8157,               0.002674,               0.002674,               0.002674
                     39,                0.44066,                0.72792,                0.82222,                0.66064,                0.55892,                 0.5235,                0.45178,                0.39098,                0.70048,                0.81768,               0.002476,               0.002476,               0.002476
                     40,                 0.4431,                0.72795,                0.83131,                0.65995,                 0.5555,                0.52239,                0.45073,                0.36704,                0.67292,                0.81984,               0.002278,               0.002278,               0.002278
                     41,                0.44197,                0.71666,                0.82685,                0.66428,                0.55672,                0.52385,                0.45277,                0.36964,                0.68508,                0.82012,                0.00208,                0.00208,                0.00208
                     42,                0.43385,                0.70247,                0.81307,                0.66864,                0.55952,                0.52558,                0.45016,                0.36946,                0.66518,                0.81837,               0.001882,               0.001882,               0.001882
                     43,                0.45184,                0.74195,                0.81871,                0.68026,                0.60027,                0.53416,                0.45749,                0.37163,                0.66883,                0.81803,               0.001684,               0.001684,               0.001684
                     44,                0.44542,                0.73079,                0.83013,                0.67941,                0.60942,                0.52865,                0.45189,                0.37121,                 0.6547,                0.82068,               0.001486,               0.001486,               0.001486
                     45,                0.42373,                0.68218,                0.81541,                0.67662,                0.58511,                0.52803,                0.45245,                0.35629,                0.65317,                0.81875,               0.001288,               0.001288,               0.001288
                     46,                0.36789,                 0.6675,                0.82519,                0.66975,                0.56433,                0.52854,                0.45455,                0.33936,                0.63722,                0.82119,                0.00109,                0.00109,                0.00109
                     47,                0.39807,                0.67394,                 0.8133,                0.67015,                0.56112,                0.53105,                 0.4591,                0.33486,                 0.6418,                0.81997,               0.000892,               0.000892,               0.000892
                     48,                 0.3912,                0.68454,                0.81318,                0.67096,                0.56461,                0.53211,                0.46144,                0.33739,                0.62673,                0.82137,               0.000694,               0.000694,               0.000694
                     49,                 0.3977,                0.66869,                0.80622,                 0.6714,                0.56604,                0.53214,                0.46105,                0.33302,                0.63025,                0.82054,               0.000496,               0.000496,               0.000496
